objectid,date,title,meeting_type,document_type,location,format
05-13-19-city_council_workshop-agenda,05/13/19,City Council Workshop - 05/13/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-06-19-city_council_meeting-agenda,05/06/19,City Council Meeting - 05/06/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-06-19-city_council_meeting-minutes,05/06/19,City Council Meeting - 05/06/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-29-19-city_council_workshop-agenda,04/29/19,City Council Workshop - 04/29/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-23-19-traffic_safety_meeting-agenda,04/23/19,Traffic Safety Meeting - 04/23/19,Traffic Safety Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
04-23-19-traffic_safety_meeting-minutes,04/23/19,Traffic Safety Meeting - 04/23/19,Traffic Safety Meeting,Minutes PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
04-16-19-zoning_board_of_appeals_meeting-agenda,04/16/19,Zoning Board of Appeals Meeting - 04/16/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-16-19-zoning_board_of_appeals_meeting-minutes,04/16/19,Zoning Board of Appeals Meeting - 04/16/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-15-19-city_council_meeting-agenda,04/15/19,City Council Meeting - 04/15/19,City Council Meeting,Agenda PDF,City Hall,application/pdf
04-15-19-city_council_meeting-minutes,04/15/19,City Council Meeting - 04/15/19,City Council Meeting,Minutes PDF,City Hall,application/pdf
04-09-19-planning_board_meeting-agenda,04/09/19,Planning Board Meeting - 04/09/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-09-19-planning_board_meeting-minutes,04/09/19,Planning Board Meeting - 04/09/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-08-19-city_council_workshop-agenda,04/08/19,City Council Workshop - 04/08/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-01-19-city_council_meeting-agenda,04/01/19,City Council Meeting - 04/01/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-01-19-city_council_meeting-minutes,04/01/19,City Council Meeting - 04/01/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-26-19-traffic_safety_meeting-agenda,03/26/19,Traffic Safety Meeting - 03/26/19,Traffic Safety Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
03-26-19-traffic_safety_meeting-minutes,03/26/19,Traffic Safety Meeting - 03/26/19,Traffic Safety Meeting,Minutes PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
03-25-19-city_council_workshop-agenda,03/25/19,City Council Workshop - 03/25/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-19-19-zoning_board_of_appeals_meeting-agenda,03/19/19,Zoning Board of Appeals Meeting - 03/19/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-19-19-zoning_board_of_appeals_meeting-minutes,03/19/19,Zoning Board of Appeals Meeting - 03/19/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-18-19-city_council_meeting-agenda,03/18/19,City Council Meeting - 03/18/19,City Council Meeting,Agenda PDF,City Hall,application/pdf
03-18-19-city_council_meeting-minutes,03/18/19,City Council Meeting - 03/18/19,City Council Meeting,Minutes PDF,City Hall,application/pdf
03-12-19-planning_board_meeting-agenda,03/12/19,Planning Board Meeting - 03/12/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-12-19-planning_board_meeting-minutes,03/12/19,Planning Board Meeting - 03/12/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-11-19-city_council_workshop-agenda,03/11/19,City Council Workshop - 03/11/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-04-19-city_council_meeting-agenda,03/04/19,City Council Meeting - 03/04/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-04-19-city_council_meeting-minutes,03/04/19,City Council Meeting - 03/04/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-25-19-city_council_workshop-agenda,02/25/19,City Council Workshop - 02/25/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-20-19-zoning_board_of_appeals_meeting-agenda,02/20/19,Zoning Board of Appeals Meeting - 02/20/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-20-19-zoning_board_of_appeals_meeting-minutes,02/20/19,Zoning Board of Appeals Meeting - 02/20/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-19-19-city_council_meeting-agenda,02/19/19,City Council Meeting - 02/19/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
02-19-19-city_council_meeting-minutes,02/19/19,City Council Meeting - 02/19/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
02-13-19-planning_board_meeting-agenda,02/13/19,Planning Board Meeting - 02/13/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-13-19-planning_board_meeting-minutes,02/13/19,Planning Board Meeting - 02/13/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-11-19-city_council_workshop-agenda,02/11/19,City Council Workshop - 02/11/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-04-19-city_council_meeting-agenda,02/04/19,City Council Meeting - 02/04/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-04-19-city_council_meeting-minutes,02/04/19,City Council Meeting - 02/04/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-28-19-city_council_workshop-agenda,01/28/19,City Council Workshop - 01/28/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-22-19-city_council_meeting-agenda,01/22/19,City Council Meeting - 01/22/19,City Council Meeting,Agenda PDF,1 Municipal Plaza,application/pdf
01-22-19-city_council_meeting-minutes,01/22/19,City Council Meeting - 01/22/19,City Council Meeting,Minutes PDF,1 Municipal Plaza,application/pdf
01-15-19-zoning_board_of_appeals_meeting-agenda,01/15/19,Zoning Board of Appeals Meeting - 01/15/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-15-19-zoning_board_of_appeals_meeting-minutes,01/15/19,Zoning Board of Appeals Meeting - 01/15/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-14-19-city_council_workshop-agenda,01/14/19,City Council Workshop - 01/14/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-08-19-planning_board_meeting-agenda,01/08/19,Planning Board Meeting - 01/08/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-08-19-planning_board_meeting-minutes,01/08/19,Planning Board Meeting - 01/08/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-07-19-city_council_meeting-agenda,01/07/19,City Council Meeting - 01/07/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-07-19-city_council_meeting-minutes,01/07/19,City Council Meeting - 01/07/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-07-19-city_council_workshop-agenda,01/07/19,City Council Workshop - 01/07/19,City Council Workshop,Agenda PDF,1 Municipal Plaza,application/pdf
12-18-18-zoning_board_of_appeals_meeting-agenda,12/18/18,Zoning Board of Appeals Meeting - 12/18/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
12-18-18-zoning_board_of_appeals_meeting-minutes,12/18/18,Zoning Board of Appeals Meeting - 12/18/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
12-17-18-city_council_meeting-agenda,12/17/18,City Council Meeting - 12/17/18,City Council Meeting,Agenda PDF,1 Municipal Plaza,application/pdf
12-11-18-planning_board_meeting-agenda,12/11/18,Planning Board Meeting - 12/11/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
12-11-18-planning_board_meeting-minutes,12/11/18,Planning Board Meeting - 12/11/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
12-10-18-city_council_workshop-agenda,12/10/18,City Council Workshop - 12/10/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-03-18-city_council_meeting-agenda,12/03/18,City Council Meeting - 12/03/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-03-18-city_council_meeting-minutes,12/03/18,City Council Meeting - 12/03/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-26-18-city_council_workshop-agenda,11/26/18,City Council Workshop - 11/26/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-20-18-zoning_board_of_appeals_meeting-agenda,11/20/18,Zoning Board of Appeals Meeting - 11/20/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-20-18-zoning_board_of_appeals_meeting-minutes,11/20/18,Zoning Board of Appeals Meeting - 11/20/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-19-18-city_council_meeting-agenda,11/19/18,City Council Meeting - 11/19/18,City Council Meeting,Agenda PDF,1 Municipal Plaza,application/pdf
11-19-18-city_council_meeting-minutes,11/19/18,City Council Meeting - 11/19/18,City Council Meeting,Minutes PDF,1 Municipal Plaza,application/pdf
11-14-18-planning_board_meeting-agenda,11/14/18,Planning Board Meeting - 11/14/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-14-18-planning_board_meeting-minutes,11/14/18,Planning Board Meeting - 11/14/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-13-18-city_council_workshop-agenda,11/13/18,City Council Workshop - 11/13/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-05-18-city_council_meeting-agenda,11/05/18,City Council Meeting - 11/05/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-05-18-city_council_meeting-minutes,11/05/18,City Council Meeting - 11/05/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-29-18-city_council_workshop-agenda,10/29/18,City Council Workshop - 10/29/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-16-18-zoning_board_of_appeals_meeting-agenda,10/16/18,Zoning Board of Appeals Meeting - 10/16/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-16-18-zoning_board_of_appeals_meeting-minutes,10/16/18,Zoning Board of Appeals Meeting - 10/16/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-15-18-city_council_meeting-agenda,10/15/18,City Council Meeting - 10/15/18,City Council Meeting,Agenda PDF,1 Municipal Plaza,application/pdf
10-15-18-city_council_meeting-minutes,10/15/18,City Council Meeting - 10/15/18,City Council Meeting,Minutes PDF,1 Municipal Plaza,application/pdf
10-10-18-planning_board_meeting-agenda,10/10/18,Planning Board Meeting - 10/10/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-10-18-planning_board_meeting-minutes,10/10/18,Planning Board Meeting - 10/10/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-09-18-city_council_workshop-agenda,10/09/18,City Council Workshop - 10/09/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-01-18-city_council_meeting-agenda,10/01/18,City Council Meeting - 10/01/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-01-18-city_council_meeting-minutes,10/01/18,City Council Meeting - 10/01/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-24-18-city_council_workshop-agenda,09/24/18,City Council Workshop - 09/24/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-18-18-zoning_board_of_appeals_meeting-agenda,09/18/18,Zoning Board of Appeals Meeting - 09/18/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-18-18-zoning_board_of_appeals_meeting-minutes,09/18/18,Zoning Board of Appeals Meeting - 09/18/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-17-18-city_council_meeting-agenda,09/17/18,City Council Meeting - 09/17/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-17-18-city_council_meeting-minutes,09/17/18,City Council Meeting - 09/17/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-11-18-planning_board_meeting-agenda,09/11/18,Planning Board Meeting - 09/11/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-11-18-planning_board_meeting-minutes,09/11/18,Planning Board Meeting - 09/11/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-10-18-city_council_workshop-agenda,09/10/18,City Council Workshop - 09/10/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-04-18-city_council_meeting-agenda,09/04/18,City Council Meeting - 09/04/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-04-18-city_council_meeting-minutes,09/04/18,City Council Meeting - 09/04/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-27-18-city_council_workshop-agenda,08/27/18,City Council Workshop - 08/27/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-20-18-city_council_meeting-agenda,08/20/18,City Council Meeting - 08/20/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-20-18-city_council_meeting-minutes,08/20/18,City Council Meeting - 08/20/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-14-18-planning_board_meeting-agenda,08/14/18,Planning Board Meeting - 08/14/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-14-18-planning_board_meeting-minutes,08/14/18,Planning Board Meeting - 08/14/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-13-18-city_council_workshop-agenda,08/13/18,City Council Workshop - 08/13/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-06-18-city_council_meeting-agenda,08/06/18,City Council Meeting - 08/06/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-06-18-city_council_meeting-minutes,08/06/18,City Council Meeting - 08/06/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-30-18-city_council_workshop-agenda,07/30/18,City Council Workshop - 07/30/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-17-18-zoning_board_of_appeals_meeting-agenda,07/17/18,Zoning Board of Appeals Meeting - 07/17/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-17-18-zoning_board_of_appeals_meeting-minutes,07/17/18,Zoning Board of Appeals Meeting - 07/17/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-16-18-city_council_meeting-agenda,07/16/18,City Council Meeting - 07/16/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-16-18-city_council_meeting-minutes,07/16/18,City Council Meeting - 07/16/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-10-18-planning_board_meeting-agenda,07/10/18,Planning Board Meeting - 07/10/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-10-18-planning_board_meeting-minutes,07/10/18,Planning Board Meeting - 07/10/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-09-18-city_council_workshop-agenda,07/09/18,City Council Workshop - 07/09/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-02-18-city_council_meeting-agenda,07/02/18,City Council Meeting - 07/02/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-02-18-city_council_meeting-minutes,07/02/18,City Council Meeting - 07/02/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-25-18-city_council_workshop-agenda,06/25/18,City Council Workshop - 06/25/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-19-18-zoning_board_of_appeals_meeting-agenda,06/19/18,Zoning Board of Appeals Meeting - 06/19/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-19-18-zoning_board_of_appeals_meeting-minutes,06/19/18,Zoning Board of Appeals Meeting - 06/19/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-18-18-city_council_meeting-agenda,06/18/18,City Council Meeting - 06/18/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-18-18-city_council_meeting-minutes,06/18/18,City Council Meeting - 06/18/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-12-18-planning_board_meeting-agenda,06/12/18,Planning Board Meeting - 06/12/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-12-18-planning_board_meeting-minutes,06/12/18,Planning Board Meeting - 06/12/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-11-18-city_council_workshop-agenda,06/11/18,City Council Workshop - 06/11/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-04-18-city_council_meeting-agenda,06/04/18,City Council Meeting - 06/04/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-04-18-city_council_meeting-minutes,06/04/18,City Council Meeting - 06/04/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-29-18-city_council_workshop-agenda,05/29/18,City Council Workshop - 05/29/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-21-18-city_council_meeting-agenda,05/21/18,City Council Meeting - 05/21/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-21-18-city_council_meeting-minutes,05/21/18,City Council Meeting - 05/21/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-15-18-zoning_board_of_appeals_meeting-agenda,05/15/18,Zoning Board of Appeals Meeting - 05/15/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-15-18-zoning_board_of_appeals_meeting-minutes,05/15/18,Zoning Board of Appeals Meeting - 05/15/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-14-18-city_council_workshop-agenda,05/14/18,City Council Workshop - 05/14/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-08-18-planning_board_meeting-agenda,05/08/18,Planning Board Meeting - 05/08/18,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-08-18-planning_board_meeting-minutes,05/08/18,Planning Board Meeting - 05/08/18,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-07-18-city_council_meeting-agenda,05/07/18,City Council Meeting - 05/07/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-07-18-city_council_meeting-minutes,05/07/18,City Council Meeting - 05/07/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-30-18-city_council_workshop-agenda,04/30/18,City Council Workshop - 04/30/18,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-17-18-zoning_board_of_appeals_meeting-agenda,04/17/18,Zoning Board of Appeals Meeting - 04/17/18,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-17-18-zoning_board_of_appeals_meeting-minutes,04/17/18,Zoning Board of Appeals Meeting - 04/17/18,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-16-18-city_council_meeting-agenda,04/16/18,City Council Meeting - 04/16/18,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-16-18-city_council_meeting-minutes,04/16/18,City Council Meeting - 04/16/18,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
